"Replicate","R_Runtime_sec","R_ARI","R_NMI"
1,2.08500000000004,1,1
2,1.774,1,1
3,1.84299999999996,1,1
4,2.17600000000004,0,0
5,1.89100000000008,1,1
6,1.745,1,1
7,1.78200000000004,1,1
8,1.76900000000001,1,1
9,1.94299999999998,1,1
10,1.75599999999997,1,1
11,1.74800000000005,1,1
12,1.75400000000002,1,1
13,1.75099999999998,1,1
14,1.75900000000001,1,1
15,1.702,1,1
16,1.87199999999996,1,1
17,2.553,0,0
18,1.846,1,1
19,2.46199999999999,1,1
20,2.23099999999999,1,1
21,1.80400000000009,1,1
22,1.78300000000002,1,1
23,2.65199999999993,1,1
24,2.27499999999998,1,1
25,2.07299999999998,1,1
26,2.15499999999997,1,1
27,2.1160000000001,1,1
28,1.73500000000001,1,1
29,1.7829999999999,1,1
30,1.84399999999994,1,1
31,1.798,1,1
32,1.78700000000003,1,1
33,1.70699999999999,1,1
34,1.92499999999995,1,1
35,1.82299999999998,1,1
36,2.072,1,1
37,2.06200000000001,0,0
38,2.39700000000005,1,1
39,1.79099999999994,1,1
40,4.63499999999999,0,0
41,1.81399999999996,1,1
42,2.09699999999998,1,1
43,2.99900000000002,0,0
44,1.78800000000001,1,1
45,1.76699999999994,1,1
46,1.61099999999999,1,1
47,1.93299999999999,1,1
48,1.72900000000004,1,1
49,1.69399999999996,1,1
50,1.68299999999999,1,1
51,1.91200000000003,1,1
52,1.65800000000002,1,1
53,1.71699999999998,1,1
54,1.78599999999994,1,1
55,1.78700000000003,1,1
56,1.71899999999994,1,1
57,1.69200000000001,1,1
58,1.73000000000002,1,1
59,1.72699999999998,1,1
60,2.2829999999999,0,0
61,1.74700000000007,1,1
62,1.69200000000001,1,1
63,1.69000000000005,1,1
64,1.779,1,1
65,2.80200000000002,0,0
66,1.85700000000008,1,1
67,1.82499999999993,1,1
68,1.76599999999996,1,1
69,1.72799999999995,1,1
70,1.96299999999997,0,0
71,1.72699999999998,1,1
72,1.678,1,1
73,1.7890000000001,1,1
74,3.16199999999992,0,0
75,1.70600000000002,1,1
76,1.87199999999996,1,1
77,1.76799999999992,1,1
78,1.89700000000005,1,1
79,1.88099999999997,1,1
80,1.91099999999994,1,1
81,1.91499999999996,1,1
82,1.83500000000004,1,1
83,3.88299999999992,0,0
84,1.75999999999999,1,1
85,1.79399999999998,1,1
86,1.84699999999998,1,1
87,1.76999999999998,1,1
88,1.74200000000008,1,1
89,1.77499999999998,1,1
90,1.71600000000001,1,1
91,1.774,1,1
92,1.78999999999996,1,1
93,1.85599999999999,1,1
94,1.721,1,1
95,1.79500000000007,1,1
96,1.798,1,1
97,2.05799999999999,1,1
98,1.99899999999991,1,1
99,2.226,1,1
100,1.89800000000002,1,1
