"Replicate","R_Runtime_sec","R_ARI","R_NMI"
1,6.505,1,1
2,6.08100000000002,1,1
3,5.96500000000003,1,1
4,5.99199999999996,1,1
5,6.11500000000001,1,1
6,5.98099999999999,1,1
7,5.97800000000007,1,1
8,5.71999999999991,1,1
9,5.96800000000007,1,1
10,5.798,1,1
11,6.048,1,1
12,5.74800000000005,1,1
13,5.69100000000003,1,1
14,5.78500000000008,1,1
15,6.12800000000004,1,1
16,5.69299999999998,1,1
17,6.03800000000001,1,1
18,5.70400000000006,1,1
19,5.69499999999994,1,1
20,5.726,1,1
21,6.02300000000002,1,1
22,5.82400000000007,1,1
23,6.95299999999997,1,1
24,6.90499999999997,1,1
25,6.25200000000007,1,1
26,6.21000000000004,1,1
27,6.50599999999997,1,1
28,6.78800000000001,1,1
29,6.51900000000001,1,1
30,6.15600000000006,1,1
31,6.56400000000008,1,1
32,6.70699999999999,1,1
33,6.57799999999997,1,1
34,5.798,1,1
35,6.02800000000002,1,1
36,5.82799999999997,1,1
37,6.45899999999995,1,1
38,5.87800000000004,1,1
39,5.99399999999991,1,1
40,5.87300000000005,1,1
41,6.02200000000005,1,1
42,5.7829999999999,1,1
43,6.024,1,1
44,5.81399999999996,1,1
45,6.16200000000003,1,1
46,5.80899999999997,1,1
47,5.995,1,1
48,5.88200000000006,1,1
49,6.72800000000007,1,1
50,5.85499999999979,1,1
51,6.00799999999981,1,1
52,5.80899999999997,1,1
53,6.11999999999989,1,1
54,5.86599999999999,1,1
55,6.01199999999994,1,1
56,5.80600000000004,1,1
57,5.97399999999993,1,1
58,5.82000000000016,1,1
59,6.029,1,1
60,5.875,1,1
61,6.0469999999998,1,1
62,5.72399999999993,1,1
63,5.95100000000002,1,1
64,5.93399999999997,1,1
65,5.92699999999991,1,1
66,5.75099999999998,1,1
67,5.89400000000001,1,1
68,6.029,1,1
69,6.22599999999989,1,1
70,6.33299999999986,1,1
71,6.31500000000005,1,1
72,5.97600000000011,1,1
73,6.37199999999984,1,1
74,6.03700000000003,1,1
75,6.22799999999984,1,1
76,6.096,1,1
77,6.2360000000001,1,1
78,6.08100000000013,1,1
79,6.43700000000013,1,1
80,6.06500000000005,1,1
81,6.24399999999991,1,1
82,6.01800000000003,1,1
83,6.36699999999996,1,1
84,6.048,1,1
85,6.22000000000003,1,1
86,6.0949999999998,1,1
87,6.279,1,1
88,6.25600000000009,1,1
89,6.25399999999991,1,1
90,6.01099999999997,1,1
91,6.279,1,1
92,6.06799999999998,1,1
93,6.27300000000014,1,1
94,6.077,1,1
95,6.89300000000003,1,1
96,7.5329999999999,1,1
97,6.37900000000013,1,1
98,6.10599999999999,1,1
99,6.30099999999993,1,1
100,6.07999999999993,1,1
