"Replicate","R_Runtime_sec","R_ARI","R_NMI"
1,5.48699999999985,1,1
2,4.73099999999999,1,1
3,4.548,1,1
4,4.74500000000012,1,1
5,4.77400000000011,1,1
6,4.72700000000009,1,1
7,4.83400000000006,1,1
8,4.75300000000016,1,1
9,4.70299999999997,1,1
10,4.67799999999988,1,1
11,4.73400000000015,1,1
12,4.73799999999983,1,1
13,4.76700000000005,1,1
14,4.78600000000006,1,1
15,4.68299999999999,1,1
16,4.69700000000012,1,1
17,4.73399999999992,1,1
18,4.69499999999994,1,1
19,4.76600000000008,1,1
20,4.67799999999988,1,1
21,4.80799999999999,1,1
22,4.62900000000013,1,1
23,4.70799999999986,1,1
24,4.70299999999997,1,1
25,4.71900000000005,1,1
26,4.91999999999985,1,1
27,4.84699999999998,1,1
28,4.68100000000004,1,1
29,4.76600000000008,1,1
30,4.66300000000001,1,1
31,4.71000000000004,1,1
32,4.64800000000014,1,1
33,4.7829999999999,1,1
34,4.625,1,1
35,4.69599999999991,1,1
36,4.89599999999996,1,1
37,4.74199999999996,1,1
38,4.66200000000003,1,1
39,4.76300000000015,1,1
40,4.77399999999989,1,1
41,4.64300000000003,1,1
42,4.6880000000001,1,1
43,4.67100000000005,1,1
44,4.67200000000003,1,1
45,4.64699999999993,1,1
46,4.83900000000017,1,1
47,4.70000000000005,1,1
48,4.67399999999998,1,1
49,4.66300000000001,1,1
50,4.99399999999991,1,1
51,4.85100000000011,1,1
52,4.95099999999979,1,1
53,4.85200000000009,1,1
54,5.0949999999998,1,1
55,4.81200000000013,1,1
56,4.80999999999995,1,1
57,4.78500000000008,1,1
58,4.82100000000014,1,1
59,4.83900000000017,1,1
60,4.87000000000012,1,1
61,4.86599999999999,1,1
62,4.91200000000003,1,1
63,5.05300000000011,1,1
64,4.84500000000003,1,1
65,4.83600000000001,1,1
66,4.87999999999988,1,1
67,4.85099999999989,1,1
68,4.904,1,1
69,4.76700000000005,1,1
70,4.86900000000014,1,1
71,4.80199999999991,1,1
72,4.89300000000003,1,1
73,5.08299999999986,1,1
74,4.86500000000001,1,1
75,4.78700000000003,1,1
76,4.77299999999991,1,1
77,4.87900000000013,1,1
78,4.80600000000004,1,1
79,4.87299999999982,1,1
80,4.79700000000003,1,1
81,4.90700000000015,1,1
82,4.8420000000001,1,1
83,5.05799999999999,1,1
84,4.83199999999988,1,1
85,4.91600000000017,1,1
86,4.88100000000009,1,1
87,4.86599999999999,1,1
88,4.85499999999979,1,1
89,4.827,1,1
90,4.82199999999989,1,1
91,4.89200000000005,1,1
92,4.79300000000012,1,1
93,5.02600000000007,1,1
94,4.85899999999992,1,1
95,4.89599999999996,1,1
96,4.91599999999994,1,1
97,4.9530000000002,1,1
98,4.81600000000003,1,1
99,4.77700000000004,1,1
100,5.04700000000003,1,1
