"Replicate","R_Runtime_sec","R_ARI","R_NMI"
1,0.007000000000005,1,1
2,0.01400000000001,1,1
3,0.00600000000002865,1,1
4,0.00600000000002865,1,1
5,0.0130000000000337,1,1
6,0.01400000000001,1,1
7,0.0260000000000105,1,1
8,0.0200000000000387,1,1
9,0.0029999999999859,1,1
10,0.0120000000000005,1,1
11,0.0080000000000382,1,1
12,0.00300000000004275,1,1
13,0.00200000000000955,1,1
14,0.0150000000000432,1,1
15,0.00200000000000955,1,1
16,0.0029999999999859,1,1
17,0.01400000000001,1,1
18,0.00300000000004275,1,1
19,0.0029999999999859,1,1
20,0.00300000000004275,1,1
21,0.0129999999999768,1,1
22,0.0040000000000191,1,1
23,0.00200000000000955,1,1
24,0.00499999999999545,1,1
25,0.021000000000015,1,1
26,0.0120000000000005,1,1
27,0.00599999999997181,1,1
28,0.0119999999999436,1,1
29,0.00200000000000955,1,1
30,0.0029999999999859,1,1
31,0.00300000000004275,1,1
32,0.00200000000000955,1,1
33,0.00300000000004275,1,1
34,0.0029999999999859,1,1
35,0.00300000000004275,1,1
36,0.0130000000000337,1,1
37,0.0029999999999859,1,1
38,0.00200000000000955,1,1
39,0.0029999999999859,1,1
40,0.00300000000004275,1,1
41,0.00200000000000955,1,1
42,0.0029999999999859,1,1
43,0.00300000000004275,1,1
44,0.00200000000000955,1,1
45,0.00200000000000955,1,1
46,0.00199999999995271,1,1
47,0.00200000000000955,1,1
48,0.0129999999999768,1,1
49,0.007000000000005,1,1
50,0.0130000000000337,1,1
51,0.007000000000005,1,1
52,0.0129999999999768,1,1
53,0.0169999999999959,1,1
54,0.00199999999995271,1,1
55,0.00199999999995271,1,1
56,0.0040000000000191,1,1
57,0.00300000000004275,1,1
58,0.0029999999999859,1,1
59,0.0260000000000105,1,1
60,0.0029999999999859,1,1
61,0.0029999999999859,1,1
62,0.00200000000000955,1,1
63,0.0120000000000005,1,1
64,0.0029999999999859,1,1
65,0.0029999999999859,1,1
66,0.00200000000000955,1,1
67,0.00799999999998136,1,1
68,0.0029999999999859,1,1
69,0.00200000000000955,1,1
70,0.0110000000000241,1,1
71,0.0029999999999859,1,1
72,0.0040000000000191,1,1
73,0.00200000000000955,1,1
74,0.0029999999999859,1,1
75,0.0269999999999868,1,1
76,0.00200000000000955,1,1
77,0.0150000000000432,1,1
78,0.00300000000004275,1,1
79,0.0699999999999932,1,1
80,0.0029999999999859,1,1
81,0.007000000000005,1,1
82,0.00200000000000955,1,1
83,0.0289999999999964,1,1
84,0.00399999999996226,1,1
85,0.00199999999995271,1,1
86,0.0029999999999859,1,1
87,0.0130000000000337,1,1
88,0.0029999999999859,1,1
89,0.007000000000005,1,1
90,0.0120000000000005,1,1
91,0.00300000000004275,1,1
92,0.0029999999999859,1,1
93,0.00200000000000955,1,1
94,0.01400000000001,1,1
95,0.0029999999999859,1,1
96,0.0029999999999859,1,1
97,0.00599999999997181,1,1
98,0.0029999999999859,1,1
99,0.00600000000002865,1,1
100,0.00300000000004275,1,1
