Replicate,CPU_Runtime_sec,GPU_Runtime_sec,CPU_ARI,GPU_ARI,CPU_NMI,GPU_NMI
1,0.5619535446166992,0.007754325866699219,1.0,1.0,1.0,1.0
2,0.44758057594299316,0.007536172866821289,1.0,1.0,1.0,1.0
3,0.3694479465484619,0.007692098617553711,1.0,1.0,1.0,1.0
4,0.7174055576324463,0.007754325866699219,0.0,0.0,0.0,0.0
5,0.3601953983306885,0.007538795471191406,1.0,1.0,1.0,1.0
6,0.35899949073791504,0.007483243942260742,1.0,1.0,1.0,1.0
7,0.35804224014282227,0.0076177120208740234,1.0,1.0,1.0,1.0
8,0.3608410358428955,0.007405281066894531,1.0,1.0,1.0,1.0
9,0.3939952850341797,0.007626056671142578,1.0,1.0,1.0,1.0
10,0.35774993896484375,0.007473468780517578,1.0,1.0,1.0,1.0
11,0.3636643886566162,0.007615566253662109,1.0,1.0,1.0,1.0
12,0.3649885654449463,0.0074956417083740234,1.0,1.0,1.0,1.0
13,0.3848564624786377,0.007642984390258789,1.0,1.0,1.0,1.0
14,0.36000776290893555,0.007485389709472656,1.0,1.0,1.0,1.0
15,0.3660869598388672,0.00768733024597168,1.0,1.0,1.0,1.0
16,0.36361217498779297,0.007662773132324219,1.0,1.0,1.0,1.0
17,1.0438392162322998,0.009741067886352539,0.0,0.0,0.0,0.0
18,0.3592867851257324,0.00745081901550293,1.0,1.0,1.0,1.0
19,0.37049269676208496,0.007591724395751953,1.0,1.0,1.0,1.0
20,0.381580114364624,0.007479190826416016,1.0,1.0,1.0,1.0
21,0.3593478202819824,0.007565736770629883,1.0,1.0,1.0,1.0
22,0.361713171005249,0.007463693618774414,1.0,1.0,1.0,1.0
23,0.37679123878479004,0.00760340690612793,1.0,1.0,1.0,1.0
24,0.36484575271606445,0.007489919662475586,1.0,1.0,1.0,1.0
25,0.3697171211242676,0.007997512817382812,1.0,1.0,1.0,1.0
26,0.37007784843444824,0.007615089416503906,1.0,1.0,1.0,1.0
27,0.3658459186553955,0.007694721221923828,1.0,1.0,1.0,1.0
28,0.3637113571166992,0.007489919662475586,1.0,1.0,1.0,1.0
29,0.35729527473449707,0.007538795471191406,1.0,1.0,1.0,1.0
30,0.43776917457580566,0.007478237152099609,1.0,1.0,1.0,1.0
31,0.37114429473876953,0.0076558589935302734,1.0,1.0,1.0,1.0
32,0.371326208114624,0.007492542266845703,1.0,1.0,1.0,1.0
33,0.35761141777038574,0.0076062679290771484,1.0,1.0,1.0,1.0
34,0.3571808338165283,0.007478237152099609,1.0,1.0,1.0,1.0
35,0.36214518547058105,0.007535696029663086,1.0,1.0,1.0,1.0
36,0.3893849849700928,0.007419586181640625,1.0,1.0,1.0,1.0
37,0.7591657638549805,0.007711887359619141,0.0,0.0,0.0,0.0
38,0.42420411109924316,0.0075986385345458984,1.0,1.0,1.0,1.0
39,0.36128902435302734,0.007578372955322266,1.0,1.0,1.0,1.0
40,2.1497929096221924,0.013401985168457031,0.0,0.0,0.0,0.0
41,0.2679760456085205,0.007624387741088867,1.0,1.0,1.0,1.0
42,0.3812410831451416,0.007530927658081055,1.0,1.0,1.0,1.0
43,1.301084041595459,0.010933876037597656,0.0,0.0,0.0,0.0
44,0.42604851722717285,0.007469654083251953,1.0,1.0,1.0,1.0
45,0.3788602352142334,0.007546186447143555,1.0,1.0,1.0,1.0
46,0.3578035831451416,0.007457256317138672,1.0,1.0,1.0,1.0
47,0.3574228286743164,0.0075817108154296875,1.0,1.0,1.0,1.0
48,0.4109177589416504,0.0074558258056640625,1.0,1.0,1.0,1.0
49,0.35794687271118164,0.007616758346557617,1.0,1.0,1.0,1.0
50,0.3568079471588135,0.00745391845703125,1.0,1.0,1.0,1.0
51,0.5395619869232178,0.007570505142211914,1.0,1.0,1.0,1.0
52,0.35793638229370117,0.007459878921508789,1.0,1.0,1.0,1.0
53,0.3631284236907959,0.007653236389160156,1.0,1.0,1.0,1.0
54,0.4702718257904053,0.007460594177246094,1.0,1.0,1.0,1.0
55,0.37390923500061035,0.007590770721435547,1.0,1.0,1.0,1.0
56,0.3784167766571045,0.007439613342285156,1.0,1.0,1.0,1.0
57,0.35777783393859863,0.007585048675537109,1.0,1.0,1.0,1.0
58,0.35863661766052246,0.00744175910949707,1.0,1.0,1.0,1.0
59,0.35865044593811035,0.007567882537841797,1.0,1.0,1.0,1.0
60,0.8898611068725586,0.009439706802368164,0.0,0.0,0.0,0.0
61,0.35840702056884766,0.0075604915618896484,1.0,1.0,1.0,1.0
62,0.35916686058044434,0.00781869888305664,1.0,1.0,1.0,1.0
63,0.358142614364624,0.007671356201171875,1.0,1.0,1.0,1.0
64,0.36122918128967285,0.007433652877807617,1.0,1.0,1.0,1.0
65,1.2272827625274658,0.010225772857666016,0.0,0.0,0.0,0.0
66,0.3589754104614258,0.007390499114990234,1.0,1.0,1.0,1.0
67,0.37023067474365234,0.007534980773925781,1.0,1.0,1.0,1.0
68,0.36368703842163086,0.007858991622924805,1.0,1.0,1.0,1.0
69,0.36215686798095703,0.007688760757446289,1.0,1.0,1.0,1.0
70,0.7479374408721924,0.0075757503509521484,0.0,0.0,0.0,0.0
71,0.35898637771606445,0.007570743560791016,1.0,1.0,1.0,1.0
72,0.35867786407470703,0.007430553436279297,1.0,1.0,1.0,1.0
73,0.47069358825683594,0.0075414180755615234,1.0,1.0,1.0,1.0
74,1.5533716678619385,0.011022567749023438,0.0,0.0,0.0,0.0
75,0.3575010299682617,0.007584571838378906,1.0,1.0,1.0,1.0
76,0.3905332088470459,0.007658720016479492,1.0,1.0,1.0,1.0
77,0.3659071922302246,0.007562160491943359,1.0,1.0,1.0,1.0
