Replicate,CPU_Runtime_sec,CPU_ARI,CPU_NMI
1,0.012694358825683594,1.0,1.0
2,0.012375593185424805,1.0,1.0
3,0.012351036071777344,1.0,1.0
4,0.012236595153808594,1.0,1.0
5,0.012166023254394531,1.0,1.0
6,0.012720823287963867,1.0,1.0
7,0.012231826782226562,1.0,1.0
8,0.012244462966918945,1.0,1.0
9,0.012874126434326172,1.0,1.0
10,0.012363195419311523,1.0,1.0
11,0.012172222137451172,1.0,1.0
12,0.011930465698242188,1.0,1.0
13,0.012187719345092773,1.0,1.0
14,0.011981010437011719,1.0,1.0
15,0.012117147445678711,1.0,1.0
16,0.01201486587524414,1.0,1.0
17,0.011884689331054688,1.0,1.0
18,0.012147903442382812,1.0,1.0
19,0.011846303939819336,1.0,1.0
20,0.011804819107055664,1.0,1.0
21,0.01186060905456543,1.0,1.0
22,0.01179361343383789,1.0,1.0
23,0.011944293975830078,1.0,1.0
24,0.011715888977050781,1.0,1.0
25,0.01171112060546875,1.0,1.0
26,0.011885643005371094,1.0,1.0
27,0.011713981628417969,1.0,1.0
28,0.011861562728881836,1.0,1.0
29,0.011910438537597656,1.0,1.0
30,0.011815309524536133,1.0,1.0
31,0.011760473251342773,1.0,1.0
32,0.011872053146362305,1.0,1.0
33,0.011809110641479492,1.0,1.0
34,0.011787891387939453,1.0,1.0
35,0.011762619018554688,1.0,1.0
36,0.011744499206542969,1.0,1.0
37,0.011777877807617188,1.0,1.0
38,0.011714935302734375,1.0,1.0
39,0.011925220489501953,1.0,1.0
40,0.011757612228393555,1.0,1.0
41,0.01176595687866211,1.0,1.0
42,0.011728763580322266,1.0,1.0
43,0.012162446975708008,1.0,1.0
44,0.011716604232788086,1.0,1.0
45,0.011785507202148438,1.0,1.0
46,0.011792182922363281,1.0,1.0
47,0.011990070343017578,1.0,1.0
48,0.011979818344116211,1.0,1.0
49,0.012258768081665039,1.0,1.0
50,0.012003183364868164,1.0,1.0
51,0.012204885482788086,1.0,1.0
52,0.011974334716796875,1.0,1.0
53,0.011977910995483398,1.0,1.0
54,0.01198887825012207,1.0,1.0
55,0.012070655822753906,1.0,1.0
56,0.011995077133178711,1.0,1.0
57,0.012117147445678711,1.0,1.0
58,0.011964082717895508,1.0,1.0
59,0.01207280158996582,1.0,1.0
60,0.012056112289428711,1.0,1.0
61,0.012129545211791992,1.0,1.0
62,0.012057781219482422,1.0,1.0
63,0.01197361946105957,1.0,1.0
64,0.011941909790039062,1.0,1.0
65,0.011932134628295898,1.0,1.0
66,0.011983633041381836,1.0,1.0
67,0.01200723648071289,1.0,1.0
68,0.012118101119995117,1.0,1.0
69,0.012027263641357422,1.0,1.0
70,0.055345773696899414,1.0,1.0
71,0.04791760444641113,1.0,1.0
72,0.017119407653808594,1.0,1.0
73,0.021795272827148438,1.0,1.0
74,0.01211237907409668,1.0,1.0
75,0.012024164199829102,1.0,1.0
76,0.012042760848999023,1.0,1.0
77,0.012092351913452148,1.0,1.0
78,0.01205754280090332,1.0,1.0
79,0.012006282806396484,1.0,1.0
80,0.012075424194335938,1.0,1.0
81,0.012065887451171875,1.0,1.0
82,0.012135505676269531,1.0,1.0
83,0.013539314270019531,1.0,1.0
84,0.012166261672973633,1.0,1.0
85,0.01218557357788086,1.0,1.0
86,0.012143611907958984,1.0,1.0
87,0.012282848358154297,1.0,1.0
88,0.012050390243530273,1.0,1.0
89,0.012187004089355469,1.0,1.0
90,0.012121915817260742,1.0,1.0
91,0.012099742889404297,1.0,1.0
92,0.01227259635925293,1.0,1.0
93,0.012117147445678711,1.0,1.0
94,0.012036561965942383,1.0,1.0
95,0.012134552001953125,1.0,1.0
96,0.01209259033203125,1.0,1.0
97,0.012176990509033203,1.0,1.0
98,0.012168169021606445,1.0,1.0
99,0.012171745300292969,1.0,1.0
100,0.012253046035766602,1.0,1.0
