Replicate,CPU_Runtime_sec,GPU_Runtime_sec,CPU_ARI,GPU_ARI,CPU_NMI,GPU_NMI
1,3.556434392929077,0.013415098190307617,1.0,1.0,1.0,1.0
2,3.6640148162841797,0.013646364212036133,1.0,1.0,1.0,1.0
3,3.6679699420928955,0.013643980026245117,1.0,1.0,1.0,1.0
4,3.602710247039795,0.013369083404541016,1.0,1.0,1.0,1.0
5,3.6392617225646973,0.014196157455444336,1.0,1.0,1.0,1.0
6,3.5440986156463623,0.013237237930297852,1.0,1.0,1.0,1.0
7,3.6093764305114746,0.013505220413208008,1.0,1.0,1.0,1.0
8,3.5023319721221924,0.013424396514892578,1.0,1.0,1.0,1.0
9,3.5601181983947754,0.01327657699584961,1.0,1.0,1.0,1.0
10,3.494304656982422,0.012874841690063477,1.0,1.0,1.0,1.0
11,3.566431999206543,0.013215780258178711,1.0,1.0,1.0,1.0
12,3.512726068496704,0.013430595397949219,1.0,1.0,1.0,1.0
13,3.4761829376220703,0.01358795166015625,1.0,1.0,1.0,1.0
14,3.6997230052948,0.013411760330200195,1.0,1.0,1.0,1.0
15,3.6602072715759277,0.013657331466674805,1.0,1.0,1.0,1.0
16,3.622293710708618,0.012985944747924805,1.0,1.0,1.0,1.0
17,3.563380479812622,0.013756275177001953,1.0,1.0,1.0,1.0
18,3.5983474254608154,0.013762950897216797,1.0,1.0,1.0,1.0
19,3.51709246635437,0.013172149658203125,1.0,1.0,1.0,1.0
20,3.538255453109741,0.013193607330322266,1.0,1.0,1.0,1.0
21,3.527841567993164,0.013047933578491211,1.0,1.0,1.0,1.0
22,3.462512493133545,0.013039827346801758,1.0,1.0,1.0,1.0
23,3.537581205368042,0.013412952423095703,1.0,1.0,1.0,1.0
24,3.5503625869750977,0.013173341751098633,1.0,1.0,1.0,1.0
25,3.495298147201538,0.013102293014526367,1.0,1.0,1.0,1.0
26,3.4797537326812744,0.01383066177368164,1.0,1.0,1.0,1.0
27,3.729495048522949,0.013753652572631836,1.0,1.0,1.0,1.0
