Replicate,CPU_Runtime_sec,GPU_Runtime_sec,CPU_ARI,GPU_ARI,CPU_NMI,GPU_NMI
1,1.297888994216919,0.02544236183166504,1.0,1.0,1.0,1.0
2,1.280623435974121,0.020608186721801758,1.0,1.0,1.0,1.0
3,1.273503303527832,0.020288467407226562,1.0,1.0,1.0,1.0
4,1.2745087146759033,0.020036935806274414,1.0,1.0,1.0,1.0
5,1.2817332744598389,0.020722150802612305,1.0,1.0,1.0,1.0
6,1.2688581943511963,0.020159006118774414,1.0,1.0,1.0,1.0
7,1.278566598892212,0.020392656326293945,1.0,1.0,1.0,1.0
8,1.2778897285461426,0.02474236488342285,1.0,1.0,1.0,1.0
9,1.2995288372039795,0.021706819534301758,1.0,1.0,1.0,1.0
10,1.3041512966156006,0.0211946964263916,1.0,1.0,1.0,1.0
11,1.2928528785705566,0.020172595977783203,1.0,1.0,1.0,1.0
12,1.2854468822479248,0.02031850814819336,1.0,1.0,1.0,1.0
13,1.2730531692504883,0.019965171813964844,1.0,1.0,1.0,1.0
14,1.2858402729034424,0.020527362823486328,1.0,1.0,1.0,1.0
15,1.2895309925079346,0.019677162170410156,1.0,1.0,1.0,1.0
16,1.2813940048217773,0.02070784568786621,1.0,1.0,1.0,1.0
17,1.3244061470031738,0.020200252532958984,1.0,1.0,1.0,1.0
18,1.2884857654571533,0.019975900650024414,1.0,1.0,1.0,1.0
19,1.2986414432525635,0.020795345306396484,1.0,1.0,1.0,1.0
20,1.29890775680542,0.02030038833618164,1.0,1.0,1.0,1.0
21,1.2981929779052734,0.020974397659301758,1.0,1.0,1.0,1.0
22,1.3030993938446045,0.02030324935913086,1.0,1.0,1.0,1.0
23,1.2840557098388672,0.02039790153503418,1.0,1.0,1.0,1.0
24,1.2911326885223389,0.020186901092529297,1.0,1.0,1.0,1.0
25,1.298112392425537,0.020009994506835938,1.0,1.0,1.0,1.0
26,1.37184476852417,0.020414352416992188,1.0,1.0,1.0,1.0
27,1.2842400074005127,0.020443201065063477,1.0,1.0,1.0,1.0
28,1.2940659523010254,0.020564794540405273,1.0,1.0,1.0,1.0
29,1.2735185623168945,0.020179271697998047,1.0,1.0,1.0,1.0
30,1.2806298732757568,0.021200895309448242,1.0,1.0,1.0,1.0
31,1.2905807495117188,0.02097916603088379,1.0,1.0,1.0,1.0
32,1.3178350925445557,0.020581960678100586,1.0,1.0,1.0,1.0
33,1.283092737197876,0.020387649536132812,1.0,1.0,1.0,1.0
34,1.2913267612457275,0.02078700065612793,1.0,1.0,1.0,1.0
35,1.286714792251587,0.020383358001708984,1.0,1.0,1.0,1.0
36,1.2929296493530273,0.02011394500732422,1.0,1.0,1.0,1.0
37,1.2800610065460205,0.020106792449951172,1.0,1.0,1.0,1.0
38,1.2862603664398193,0.020421266555786133,1.0,1.0,1.0,1.0
39,1.2822890281677246,0.02002739906311035,1.0,1.0,1.0,1.0
40,1.3066213130950928,0.019950151443481445,1.0,1.0,1.0,1.0
41,1.2798199653625488,0.020152807235717773,1.0,1.0,1.0,1.0
42,1.2814974784851074,0.021116971969604492,1.0,1.0,1.0,1.0
43,1.2850873470306396,0.020575523376464844,1.0,1.0,1.0,1.0
44,1.2815186977386475,0.02012181282043457,1.0,1.0,1.0,1.0
45,1.2775685787200928,0.020538806915283203,1.0,1.0,1.0,1.0
46,1.281630039215088,0.02012324333190918,1.0,1.0,1.0,1.0
47,1.2987315654754639,0.020725011825561523,1.0,1.0,1.0,1.0
48,1.2817788124084473,0.020267963409423828,1.0,1.0,1.0,1.0
49,1.2771921157836914,0.01998591423034668,1.0,1.0,1.0,1.0
50,1.2804198265075684,0.020120620727539062,1.0,1.0,1.0,1.0
51,1.294532060623169,0.02030324935913086,1.0,1.0,1.0,1.0
52,1.2829725742340088,0.020176172256469727,1.0,1.0,1.0,1.0
53,1.281933069229126,0.020604610443115234,1.0,1.0,1.0,1.0
54,1.2713243961334229,0.02017378807067871,1.0,1.0,1.0,1.0
55,1.2960093021392822,0.020153045654296875,1.0,1.0,1.0,1.0
56,1.2732982635498047,0.02051067352294922,1.0,1.0,1.0,1.0
57,1.28279709815979,0.020634174346923828,1.0,1.0,1.0,1.0
58,1.2778677940368652,0.022529125213623047,1.0,1.0,1.0,1.0
59,1.2852270603179932,0.02022266387939453,1.0,1.0,1.0,1.0
60,1.2805345058441162,0.020400047302246094,1.0,1.0,1.0,1.0
61,1.2918190956115723,0.020241260528564453,1.0,1.0,1.0,1.0
62,1.2842459678649902,0.02069544792175293,1.0,1.0,1.0,1.0
63,1.299490213394165,0.01999807357788086,1.0,1.0,1.0,1.0
64,1.278449296951294,0.02054119110107422,1.0,1.0,1.0,1.0
65,1.2824501991271973,0.020435571670532227,1.0,1.0,1.0,1.0
66,1.2753589153289795,0.020241260528564453,1.0,1.0,1.0,1.0
67,1.2889564037322998,0.020395517349243164,1.0,1.0,1.0,1.0
68,1.280473232269287,0.02097320556640625,1.0,1.0,1.0,1.0
69,1.2870948314666748,0.020551443099975586,1.0,1.0,1.0,1.0
70,1.2851269245147705,0.021026611328125,1.0,1.0,1.0,1.0
71,1.275001049041748,0.02069997787475586,1.0,1.0,1.0,1.0
72,1.2750062942504883,0.019993305206298828,1.0,1.0,1.0,1.0
73,1.2887346744537354,0.02032637596130371,1.0,1.0,1.0,1.0
74,1.281602382659912,0.020463228225708008,1.0,1.0,1.0,1.0
75,1.280897617340088,0.020285844802856445,1.0,1.0,1.0,1.0
76,1.280982255935669,0.020296573638916016,1.0,1.0,1.0,1.0
77,1.2994716167449951,0.022589445114135742,1.0,1.0,1.0,1.0
78,1.2765552997589111,0.02081918716430664,1.0,1.0,1.0,1.0
79,1.2955193519592285,0.021284103393554688,1.0,1.0,1.0,1.0
80,1.2759695053100586,0.02019500732421875,1.0,1.0,1.0,1.0
81,1.284867763519287,0.02075815200805664,1.0,1.0,1.0,1.0
82,1.2853264808654785,0.02033233642578125,1.0,1.0,1.0,1.0
83,1.2793970108032227,0.020140409469604492,1.0,1.0,1.0,1.0
84,1.2951996326446533,0.020529747009277344,1.0,1.0,1.0,1.0
85,1.2816781997680664,0.020643234252929688,1.0,1.0,1.0,1.0
86,1.2780125141143799,0.020897626876831055,1.0,1.0,1.0,1.0
87,1.2981419563293457,0.020238399505615234,1.0,1.0,1.0,1.0
88,1.2798776626586914,0.020482301712036133,1.0,1.0,1.0,1.0
89,1.2762413024902344,0.020405054092407227,1.0,1.0,1.0,1.0
90,1.2891795635223389,0.020847558975219727,1.0,1.0,1.0,1.0
91,1.2767658233642578,0.0204617977142334,1.0,1.0,1.0,1.0
