Replicate,CPU_Runtime_sec,GPU_Runtime_sec,CPU_ARI,GPU_ARI,CPU_NMI,GPU_NMI
1,0.005527019500732422,0.0026428699493408203,1.0,1.0,1.0,1.0
2,0.0034399032592773438,0.0017001628875732422,1.0,1.0,1.0,1.0
3,0.003310680389404297,0.001554250717163086,1.0,1.0,1.0,1.0
4,0.003315448760986328,0.0017104148864746094,1.0,1.0,1.0,1.0
5,0.0032701492309570312,0.0015196800231933594,1.0,1.0,1.0,1.0
6,0.003602266311645508,0.0016930103302001953,1.0,1.0,1.0,1.0
7,0.0034923553466796875,0.0016543865203857422,1.0,1.0,1.0,1.0
8,0.003265380859375,0.0016248226165771484,1.0,1.0,1.0,1.0
9,0.003358602523803711,0.0015554428100585938,1.0,1.0,1.0,1.0
10,0.003509044647216797,0.001538991928100586,1.0,1.0,1.0,1.0
11,0.0032896995544433594,0.0016598701477050781,1.0,1.0,1.0,1.0
12,0.003260374069213867,0.0015082359313964844,1.0,1.0,1.0,1.0
13,0.0033235549926757812,0.001505136489868164,1.0,1.0,1.0,1.0
14,0.0032303333282470703,0.0016372203826904297,1.0,1.0,1.0,1.0
15,0.0035161972045898438,0.0016269683837890625,1.0,1.0,1.0,1.0
16,0.003222942352294922,0.0015172958374023438,1.0,1.0,1.0,1.0
17,0.00345611572265625,0.0016531944274902344,1.0,1.0,1.0,1.0
18,0.0034935474395751953,0.0015118122100830078,1.0,1.0,1.0,1.0
19,0.003518819808959961,0.0015430450439453125,1.0,1.0,1.0,1.0
20,0.003312826156616211,0.0016064643859863281,1.0,1.0,1.0,1.0
21,0.0034635066986083984,0.001628875732421875,1.0,1.0,1.0,1.0
22,0.003304004669189453,0.0016546249389648438,1.0,1.0,1.0,1.0
23,0.0036504268646240234,0.0016279220581054688,1.0,1.0,1.0,1.0
24,0.003266572952270508,0.0016353130340576172,1.0,1.0,1.0,1.0
25,0.0034894943237304688,0.00162506103515625,1.0,1.0,1.0,1.0
26,0.0035483837127685547,0.0016846656799316406,1.0,1.0,1.0,1.0
27,0.003678560256958008,0.0016269683837890625,1.0,1.0,1.0,1.0
28,0.0037288665771484375,0.0015981197357177734,1.0,1.0,1.0,1.0
29,0.0036704540252685547,0.0017101764678955078,1.0,1.0,1.0,1.0
30,0.0034089088439941406,0.0017364025115966797,1.0,1.0,1.0,1.0
31,0.0034711360931396484,0.003648996353149414,1.0,1.0,1.0,1.0
32,0.003637075424194336,0.0017771720886230469,1.0,1.0,1.0,1.0
33,0.0037064552307128906,0.001706838607788086,1.0,1.0,1.0,1.0
34,0.0034995079040527344,0.0017757415771484375,1.0,1.0,1.0,1.0
35,0.0037338733673095703,0.0017371177673339844,1.0,1.0,1.0,1.0
36,0.0035834312438964844,0.001729726791381836,1.0,1.0,1.0,1.0
37,0.003506183624267578,0.0017557144165039062,1.0,1.0,1.0,1.0
38,0.0034520626068115234,0.0017352104187011719,1.0,1.0,1.0,1.0
39,0.0037322044372558594,0.0017228126525878906,1.0,1.0,1.0,1.0
40,0.0037055015563964844,0.0016109943389892578,1.0,1.0,1.0,1.0
41,0.0036933422088623047,0.0015950202941894531,1.0,1.0,1.0,1.0
42,0.0033702850341796875,0.001623392105102539,1.0,1.0,1.0,1.0
43,0.003533601760864258,0.0016207695007324219,1.0,1.0,1.0,1.0
44,0.0034160614013671875,0.0016140937805175781,1.0,1.0,1.0,1.0
45,0.003523588180541992,0.0017538070678710938,1.0,1.0,1.0,1.0
46,0.003689289093017578,0.0017452239990234375,1.0,1.0,1.0,1.0
47,0.003576517105102539,0.0017178058624267578,1.0,1.0,1.0,1.0
48,0.0034232139587402344,0.0017020702362060547,1.0,1.0,1.0,1.0
49,0.003660440444946289,0.0017406940460205078,1.0,1.0,1.0,1.0
50,0.003463268280029297,0.0017333030700683594,1.0,1.0,1.0,1.0
51,0.00363922119140625,0.0017516613006591797,1.0,1.0,1.0,1.0
52,0.0034503936767578125,0.0017273426055908203,1.0,1.0,1.0,1.0
53,0.0037398338317871094,0.0017287731170654297,1.0,1.0,1.0,1.0
54,0.003632068634033203,0.0015990734100341797,1.0,1.0,1.0,1.0
55,0.0034203529357910156,0.0016300678253173828,1.0,1.0,1.0,1.0
56,0.0034532546997070312,0.001725912094116211,1.0,1.0,1.0,1.0
57,0.0034134387969970703,0.00173187255859375,1.0,1.0,1.0,1.0
58,0.0034503936767578125,0.0017824172973632812,1.0,1.0,1.0,1.0
59,0.003499746322631836,0.0016193389892578125,1.0,1.0,1.0,1.0
60,0.0037224292755126953,0.0016398429870605469,1.0,1.0,1.0,1.0
61,0.0034873485565185547,0.0016248226165771484,1.0,1.0,1.0,1.0
62,0.003714323043823242,0.003650665283203125,1.0,1.0,1.0,1.0
63,0.003868579864501953,0.0016391277313232422,1.0,1.0,1.0,1.0
64,0.0034427642822265625,0.0016274452209472656,1.0,1.0,1.0,1.0
65,0.00374603271484375,0.0016734600067138672,1.0,1.0,1.0,1.0
66,0.0036873817443847656,0.0017490386962890625,1.0,1.0,1.0,1.0
67,0.0037751197814941406,0.0016322135925292969,1.0,1.0,1.0,1.0
68,0.0034613609313964844,0.0016505718231201172,1.0,1.0,1.0,1.0
69,0.003686189651489258,0.0017948150634765625,1.0,1.0,1.0,1.0
70,0.003537416458129883,0.0017802715301513672,1.0,1.0,1.0,1.0
71,0.003639698028564453,0.0016171932220458984,1.0,1.0,1.0,1.0
72,0.003470897674560547,0.0017609596252441406,1.0,1.0,1.0,1.0
73,0.0034360885620117188,0.001749277114868164,1.0,1.0,1.0,1.0
74,0.0037789344787597656,0.0017545223236083984,1.0,1.0,1.0,1.0
75,0.0037338733673095703,0.0017819404602050781,1.0,1.0,1.0,1.0
76,0.0034394264221191406,0.0016825199127197266,1.0,1.0,1.0,1.0
77,0.0034570693969726562,0.0016529560089111328,1.0,1.0,1.0,1.0
78,0.00344085693359375,0.0017848014831542969,1.0,1.0,1.0,1.0
79,0.003457784652709961,0.0017893314361572266,1.0,1.0,1.0,1.0
80,0.003487110137939453,0.0016536712646484375,1.0,1.0,1.0,1.0
81,0.003484010696411133,0.0016646385192871094,1.0,1.0,1.0,1.0
82,0.0035238265991210938,0.001653909683227539,1.0,1.0,1.0,1.0
83,0.003587484359741211,0.0016627311706542969,1.0,1.0,1.0,1.0
84,0.0038101673126220703,0.0016927719116210938,1.0,1.0,1.0,1.0
85,0.0036592483520507812,0.0017652511596679688,1.0,1.0,1.0,1.0
86,0.0036864280700683594,0.001641988754272461,1.0,1.0,1.0,1.0
